pos_id;track_id;pair_id;bird_num;path;bird_id;x;y;t;dp_10m
88;1;1;1;A;1;612080.73649;5729128.71564;40325.4;f
89;1;1;1;A;1;612081.2899;5729131.51988;40325.6;f
90;1;1;1;A;1;612081.91264;5729134.31527;40325.8;f
91;1;1;1;A;1;612082.60671;5729137.01139;40326;f
92;1;1;1;A;1;612083.49314;5729139.80222;40326.2;f
93;1;1;1;A;1;612084.46356;5729142.50436;40326.4;f
94;1;1;1;A;1;612085.50341;5729145.19786;40326.6;f
95;1;1;1;A;1;612086.54963;5729147.89129;40326.8;f
96;1;1;1;A;1;612087.65852;5729150.5862;40327;f
97;1;1;1;A;1;612088.77389;5729153.28127;40327.2;f
98;1;1;1;A;1;612090.01451;5729155.97913;40327.4;f
99;1;1;1;A;1;612091.33069;5729158.67866;40327.6;f
100;1;1;1;A;1;612092.7786;5729161.38113;40327.8;f
101;1;1;1;A;1;612094.30432;5729163.98448;40328;f
102;1;1;1;A;1;612096.02462;5729166.58174;40328.2;f
103;1;1;1;A;1;612097.89174;5729169.08131;40328.4;f
104;1;1;1;A;1;612100.02494;5729171.47574;40328.6;t
105;1;1;1;A;1;612102.3742;5729173.76353;40328.8;f
106;1;1;1;A;1;612104.93779;5729175.74324;40329;f
107;1;1;1;A;1;612107.58414;5729177.69351;40329.2;f
108;1;1;1;A;1;612110.36444;5729179.54593;40329.4;f
109;1;1;1;A;1;612113.15569;5729181.489;40329.6;f
110;1;1;1;A;1;612116.07405;5729183.34441;40329.8;f
111;1;1;1;A;1;612119.06623;5729185.29202;40330;f
112;1;1;1;A;1;612122.00417;5729187.14796;40330.2;f
113;1;1;1;A;1;612125.00057;5729188.89385;40330.4;f
114;1;1;1;A;1;612128.06431;5729190.73179;40330.6;f
115;1;1;1;A;1;612131.1363;5729192.47938;40330.8;f
116;1;1;1;A;1;612134.33386;5729194.21939;40331;f
117;1;1;1;A;1;612137.60701;5729195.96109;40331.2;f
118;1;1;1;A;1;612140.82402;5729197.70154;40331.4;f
119;1;1;1;A;1;612144.03679;5729199.34108;40331.6;f
120;1;1;1;A;1;612147.2474;5729201.07088;40331.8;f
121;1;1;1;A;1;612150.26796;5729202.90787;40332;f
122;1;1;1;A;1;612153.32911;5729204.85696;40332.2;f
123;1;1;1;A;1;612156.39635;5729206.81654;40332.4;f
124;1;1;1;A;1;612159.40333;5729208.67403;40332.6;f
125;1;1;1;A;1;612162.4667;5729210.52234;40332.8;f
126;1;1;1;A;1;612165.47168;5729212.47018;40333;f
127;1;1;1;A;1;612168.4722;5729214.32754;40333.2;f
128;1;1;1;A;1;612171.4707;5729216.27524;40333.4;f
129;1;1;1;A;1;612174.59643;5729218.13539;40333.6;f
130;1;1;1;A;1;612177.80007;5729219.88594;40333.8;f
131;1;1;1;A;1;612181.07332;5729221.62774;40334;f
132;1;1;1;A;1;612184.42227;5729223.0687;40334.2;f
133;1;1;1;A;1;612187.77823;5729224.47843;40334.4;f
134;1;1;1;A;1;612191.13209;5729225.98899;40334.6;f
135;1;1;1;A;1;612194.48348;5729227.61076;40334.8;f
136;1;1;1;A;1;612197.70718;5729229.34096;40335;f
137;1;1;1;A;1;612200.85282;5729231.18068;40335.2;f
138;1;1;1;A;1;612203.86652;5729233.02791;40335.4;f
139;1;1;1;A;1;612206.92984;5729234.87626;40335.6;f
140;1;1;1;A;1;612209.99952;5729236.72466;40335.8;f
141;1;1;1;A;1;612213.00222;5729238.77327;40336;f
142;1;1;1;A;1;612215.87066;5729240.94071;40336.2;t
143;1;1;1;A;1;612218.65854;5729243.31825;40336.4;f
144;1;1;1;A;1;612221.37472;5729245.81598;40336.6;f
145;1;1;1;A;1;612224.02383;5729248.22188;40336.8;f
146;1;1;1;A;1;612226.66443;5729250.71795;40337;f
147;1;1;1;A;1;612229.30479;5729253.22446;40337.2;f
148;1;1;1;A;1;612231.94515;5729255.73098;40337.4;f
149;1;1;1;A;1;612234.58551;5729258.2375;40337.6;f
150;1;1;1;A;1;612237.22799;5729260.64315;40337.8;f
151;1;1;1;A;1;612239.8708;5729263.03846;40338;f
152;1;1;1;A;1;612242.57859;5729265.33451;40338.2;f
153;1;1;1;A;1;612245.29512;5729267.51932;40338.4;f
154;1;1;1;A;1;612248.00973;5729269.7945;40338.6;f
155;1;1;1;A;1;612250.66152;5729272.07876;40338.8;f
156;1;1;1;A;1;612253.24197;5729274.46224;40339;f
157;1;1;1;A;1;612255.81568;5729276.85602;40339.2;f
158;1;1;1;A;1;612258.2596;5729279.44841;40339.4;f
159;1;1;1;A;1;612260.56506;5729282.05886;40339.6;f
160;1;1;1;A;1;612262.72989;5729284.76676;40339.8;f
161;1;1;1;A;1;612264.81898;5729287.48354;40340;f
162;1;1;1;A;1;612266.89934;5729290.30093;40340.2;f
163;1;1;1;A;1;612268.79166;5729293.12461;40340.4;f
164;1;1;1;A;1;612270.66673;5729295.8471;40340.6;f
165;1;1;1;A;1;612272.53754;5729298.76063;40340.8;f
166;1;1;1;A;1;612274.41013;5729301.59433;40341;f
167;1;1;1;A;1;612276.34555;5729304.41896;40341.2;f
168;1;1;1;A;1;612278.22703;5729307.14148;40341.4;f
169;1;1;1;A;1;612280.10015;5729309.95437;40341.6;f
170;1;1;1;A;1;612281.97289;5729312.7775;40341.8;f
171;1;1;1;A;1;612283.7205;5729315.59795;40342;f
172;1;1;1;A;1;612285.39028;5729318.51747;40342.2;f
173;1;1;1;A;1;612287.05108;5729321.54805;40342.4;f
174;1;1;1;A;1;612288.71389;5729324.48835;40342.6;f
175;1;1;1;A;1;612290.50428;5729327.3201;40342.8;f
